row_index,window_id,ts,src_ip_token,is_attack,iat_raw,iat_filled_flag,iat_log,iat_log_scaled
0,window_01_0pct,1783691996.02358,c2ea3445,0,0.00016617774963378906,0,-3.7768215250686246,-0.9376627983148133
1,window_01_0pct,1783691996.022332,c2ea3445,0,0.00018906593322753906,0,-3.7210957176275636,-0.9016014239801604
2,window_01_0pct,1783691996.023414,c2ea3445,0,0.0010819435119628906,0,-2.9653941962672232,-0.41257063737621813
3,window_01_0pct,1783691996.022143,c2ea3445,0,0.15496397018432617,0,-0.8097664629587222,0.9823826560186635
4,window_01_0pct,1783691996.023807,c2ea3445,0,0.0002269744873046875,0,-3.6421137523098706,-0.8504904872742127
5,window_01_0pct,1783691995.867179,c2ea3445,0,0.2045269012451172,0,-0.6892474381199963,1.0603731216346763
6,window_01_0pct,1783691998.276401,c2ea3445,0,0.001619100570678711,0,-2.790458025003601,-0.29936566025173944
7,window_01_0pct,1783691998.274782,c2ea3445,0,0.00032591819763183594,0,-3.485560904102637,-0.7491817557977212
8,window_01_0pct,1783691998.257523,c2ea3445,0,0.0010099411010742188,0,-2.9952741463116612,-0.43190659881191107
9,window_01_0pct,1783691998.276541,c2ea3445,0,0.0001399517059326172,0,-3.8509296635125723,-0.9856197763181919
10,window_01_0pct,1783691998.274456,c2ea3445,0,0.016932964324951172,0,-1.7712413594984122,0.36019147118638106
11,window_01_0pct,1783691995.662377,c2ea3445,0,0.0010781288146972656,0,-2.9669267108563733,-0.4135623606873807
12,window_01_0pct,1783691995.661299,c2ea3445,0,0.00011587142944335938,0,-3.9322916441128677,-1.0382708723501195
13,window_01_0pct,1783691995.662652,c2ea3445,0,0.00017499923706054688,0,-3.7544892148058087,-0.9232110777005039
14,window_01_0pct,1783691995.661183,c2ea3445,0,0.006779193878173828,0,-2.1687578873988365,0.10294993490195438
15,window_01_0pct,1783691995.662477,c2ea3445,0,9.989738464355469e-05,0,-3.99612009094439,-1.0795756397476217
16,window_01_0pct,1783691995.654404,c2ea3445,0,3.5904948711395264,0,0.5551544316501956,1.8656524654286115
17,window_01_0pct,1783691962.420698,c2ea3445,0,0.0002129077911376953,0,-3.6697733968848207,-0.8683896410556216
18,window_01_0pct,1783691962.420485,c2ea3445,0,0.7752339839935303,0,-0.11056663712792439,1.4348499743374952
19,window_01_0pct,1783691944.120375,c2ea3445,0,0.0006480216979980469,0,-3.187740783687614,-0.5564559194240338
20,window_01_0pct,1783691944.119727,c2ea3445,0,0.026868820190429688,0,-1.5707352398029857,0.4899433145557737
21,window_01_0pct,1783691969.046783,c2ea3445,0,2.578542947769165,0,0.41137453776367205,1.7726093887406256
22,window_01_0pct,1783691944.092858,c2ea3445,0,7.522277116775513,0,0.8763493862982992,2.073504662208671
23,window_01_0pct,1783692001.25681,c2ea3445,0,0.02028799057006836,0,-1.69273955970665,0.41099168240321854
24,window_01_0pct,1783692001.259109,c2ea3445,0,0.00012493133544921875,0,-3.899866191104169,-1.0172876609331454
