row_index,window_id,is_attack,signature_id,ts
1,window_01_0pct,0,1,1783691996.022332
3,window_01_0pct,0,2,1783691996.022143
5,window_01_0pct,0,3,1783691995.867179
10,window_01_0pct,0,7,1783691998.274456
11,window_01_0pct,0,8,1783691995.662377
13,window_01_0pct,0,10,1783691995.662652
15,window_01_0pct,0,8,1783691995.662477
19,window_01_0pct,0,15,1783691944.120375
25,window_01_0pct,0,20,1783692001.289681
26,window_01_0pct,0,21,1783692001.258984
27,window_01_0pct,0,22,1783692001.256952
29,window_01_0pct,0,24,1783691999.30684
30,window_01_0pct,0,24,1783691999.309849
31,window_01_0pct,0,24,1783691999.310132
32,window_01_0pct,0,25,1783691999.309631
33,window_01_0pct,0,25,1783691999.306545
34,window_01_0pct,0,26,1783691999.298937
36,window_01_0pct,0,28,1783691998.477511
37,window_01_0pct,0,28,1783691998.477853
39,window_01_0pct,0,30,1783691998.476417
40,window_01_0pct,0,31,1783691998.477319
41,window_01_0pct,0,31,1783691998.476323
42,window_01_0pct,0,32,1783692000.512383
43,window_01_0pct,0,33,1783691989.515555
45,window_01_0pct,0,35,1783692000.513415
46,window_01_0pct,0,35,1783692000.513153
47,window_01_0pct,0,35,1783692000.513303
48,window_01_0pct,0,36,1783692001.93334
49,window_01_0pct,0,37,1783692001.934448
53,window_01_0pct,0,40,1783692001.93428
57,window_01_0pct,0,43,1783692018.397936
58,window_01_0pct,0,43,1783692018.397228
60,window_01_0pct,0,45,1783692018.396697
61,window_01_0pct,0,46,1783692020.024347
62,window_01_0pct,0,47,1783692020.044868
63,window_01_0pct,0,48,1783692020.043377
65,window_01_0pct,0,49,1783692020.043232
66,window_01_0pct,0,50,1783691926.409991
68,window_01_0pct,0,52,1783691926.405159
70,window_01_0pct,0,54,1783691926.394898
72,window_01_0pct,0,20,1783692021.216804
73,window_01_0pct,0,55,1783692021.195122
74,window_01_0pct,0,56,1783692021.21513
75,window_01_0pct,0,57,1783692021.216405
78,window_01_0pct,0,60,1783691980.528249
82,window_01_0pct,0,63,1783691980.517997
83,window_01_0pct,0,64,1783691980.528769
85,window_01_0pct,0,66,1783692008.685044
88,window_01_0pct,0,68,1783692008.685833
91,window_01_0pct,0,71,1783692026.562338
92,window_01_0pct,0,71,1783692026.562205
93,window_01_0pct,0,72,1783692044.1402
96,window_01_0pct,0,74,1783691954.766703
97,window_01_0pct,0,75,1783691954.765884
98,window_01_0pct,0,76,1783691954.761542
99,window_01_0pct,0,77,1783691954.761772
101,window_01_0pct,0,79,1783691954.765694
105,window_01_0pct,0,83,1783692050.685775
107,window_01_0pct,0,84,1783692050.686935
109,window_01_0pct,0,47,1783692051.456857
112,window_01_0pct,0,86,1783692051.456752
113,window_01_0pct,0,87,1783692051.455342
120,window_01_0pct,0,94,1783692046.331343
122,window_01_0pct,0,96,1783691999.76151
123,window_01_0pct,0,97,1783691999.763112
124,window_01_0pct,0,96,1783691999.762664
126,window_01_0pct,0,99,1783691999.761645
130,window_01_0pct,0,103,1783692024.583592
131,window_01_0pct,0,104,1783692024.585024
136,window_01_0pct,0,87,1783692060.634708
137,window_01_0pct,0,84,1783692060.637218
143,window_01_0pct,0,109,1783692015.876539
147,window_01_0pct,0,20,1783692076.126456
148,window_01_0pct,0,113,1783692076.123706
149,window_01_0pct,0,114,1783692076.125889
150,window_01_0pct,0,115,1783692076.123605
151,window_01_0pct,0,116,1783692078.03258
152,window_01_0pct,0,47,1783692078.034362
153,window_01_0pct,0,116,1783692078.032358
155,window_01_0pct,0,118,1783692078.010555
160,window_01_0pct,0,121,1783691936.570581
165,window_01_0pct,0,126,1783692031.890606
167,window_01_0pct,0,128,1783692031.887269
168,window_01_0pct,0,126,1783692031.891161
169,window_01_0pct,0,129,1783692031.877498
170,window_01_0pct,0,126,1783692031.890376
171,window_01_0pct,0,130,1783692079.299579
174,window_01_0pct,0,133,1783692079.29945
175,window_01_0pct,0,130,1783692079.303331
176,window_01_0pct,0,130,1783692079.303074
177,window_01_0pct,0,134,1783692078.729527
179,window_01_0pct,0,136,1783692078.727659
180,window_01_0pct,0,136,1783692078.72868
182,window_01_0pct,0,137,1783692078.707029
186,window_01_0pct,0,140,1783692073.76643
187,window_01_0pct,0,141,1783692010.533843
189,window_01_0pct,0,143,1783692073.766381
190,window_01_0pct,0,144,1783692010.538674
192,window_01_0pct,0,47,1783692094.336556
194,window_01_0pct,0,86,1783692094.334341
196,window_01_0pct,0,86,1783692094.336344
198,window_01_0pct,0,148,1783692024.64966
199,window_01_0pct,0,149,1783692024.651721
201,window_01_0pct,0,151,1783692024.637107
203,window_01_0pct,0,152,1783692036.196043
204,window_01_0pct,0,153,1783692036.194402
206,window_01_0pct,0,155,1783692028.48084
207,window_01_0pct,0,156,1783692036.195859
211,window_01_0pct,0,84,1783692100.65602
212,window_01_0pct,0,83,1783692100.653465
213,window_01_0pct,0,157,1783692106.892995
214,window_01_0pct,0,157,1783692106.894476
215,window_01_0pct,0,157,1783692106.893492
218,window_01_0pct,0,157,1783692106.894698
226,window_01_0pct,0,166,1783692071.801592
227,window_01_0pct,0,166,1783692071.799768
228,window_01_0pct,0,166,1783692071.800242
230,window_01_0pct,0,168,1783692071.794622
231,window_01_0pct,0,169,1783692071.79546
232,window_01_0pct,0,170,1783692124.297861
239,window_01_0pct,0,176,1783692126.66262
240,window_01_0pct,0,177,1783692126.661905
241,window_01_0pct,0,178,1783692105.691068
242,window_01_0pct,0,178,1783692105.691439
246,window_01_0pct,0,181,1783692105.689271
247,window_01_0pct,0,182,1783691954.064812
248,window_01_0pct,0,183,1783691960.198995
249,window_01_0pct,0,184,1783691960.198824
253,window_01_0pct,0,84,1783692139.692416
258,window_01_0pct,0,47,1783692140.685483
259,window_01_0pct,0,190,1783692140.654706
260,window_01_0pct,0,86,1783692140.685174
261,window_01_0pct,0,86,1783692140.684512
263,window_01_0pct,0,86,1783692140.685067
266,window_01_0pct,0,193,1783692115.055698
268,window_01_0pct,0,194,1783692115.05786
269,window_01_0pct,0,195,1783692115.028871
270,window_01_0pct,0,196,1783692132.818544
273,window_01_0pct,0,198,1783692137.832615
274,window_01_0pct,0,199,1783692137.854582
275,window_01_0pct,0,199,1783692137.855108
276,window_01_0pct,0,199,1783692137.852067
277,window_01_0pct,0,199,1783692137.855508
278,window_01_0pct,0,200,1783692137.850973
280,window_01_0pct,0,202,1783692110.298391
281,window_01_0pct,0,202,1783692110.298635
282,window_01_0pct,0,203,1783692110.28238
284,window_01_0pct,0,205,1783692150.281802
285,window_01_0pct,0,206,1783692150.313856
289,window_01_0pct,0,206,1783692150.315304
290,window_01_0pct,0,206,1783692150.315624
291,window_01_0pct,0,209,1783692149.80222
292,window_01_0pct,0,210,1783692149.905911
294,window_01_0pct,0,212,1783692149.904657
