position,segment_id,segment_label,row_index,window_id,is_attack,ts
0,0,benign,1584,window_02_3pct,0,1783694958.746217
1,0,benign,36781,window_resampled_15pct,0,1783695494.323536
2,0,benign,680,window_02_3pct,0,1783695494.323536
3,0,benign,549,window_02_3pct,0,1783695530.524768
4,0,benign,36784,window_resampled_15pct,0,1783695546.665216
5,0,benign,556,window_02_3pct,0,1783695546.665216
6,0,benign,557,window_02_3pct,0,1783695574.335734
7,0,benign,41693,window_resampled_20pct,0,1783695574.337447
8,0,benign,555,window_02_3pct,0,1783695574.337447
9,0,benign,36795,window_resampled_15pct,0,1783695596.380266
10,0,benign,840,window_02_3pct,0,1783695596.380266
11,0,benign,563,window_02_3pct,0,1783695599.821793
12,0,benign,36797,window_resampled_15pct,0,1783695599.821793
13,0,benign,561,window_02_3pct,0,1783695599.823984
14,0,benign,644,window_02_3pct,0,1783695599.834574
15,0,benign,673,window_02_3pct,0,1783695602.188807
16,0,benign,677,window_02_3pct,0,1783695602.189616
17,0,benign,675,window_02_3pct,0,1783695602.190061
18,0,benign,736,window_02_3pct,0,1783695604.919684
19,0,benign,41701,window_resampled_20pct,0,1783695604.919684
20,0,benign,748,window_02_3pct,0,1783695605.315522
21,0,benign,747,window_02_3pct,0,1783695605.322046
22,0,benign,750,window_02_3pct,0,1783695605.324334
23,0,benign,585,window_02_3pct,0,1783695616.664195
24,0,benign,581,window_02_3pct,0,1783695616.682312
25,0,benign,41702,window_resampled_20pct,0,1783695616.682312
26,0,benign,583,window_02_3pct,0,1783695616.682818
27,0,benign,41703,window_resampled_20pct,0,1783695616.682818
28,0,benign,779,window_02_3pct,0,1783695617.064313
29,0,benign,590,window_02_3pct,0,1783695623.590178
30,0,benign,591,window_02_3pct,0,1783695623.590328
31,0,benign,41705,window_resampled_20pct,0,1783695623.590328
32,0,benign,651,window_02_3pct,0,1783695624.09622
33,0,benign,41708,window_resampled_20pct,0,1783695626.249231
34,0,benign,595,window_02_3pct,0,1783695626.249231
35,0,benign,701,window_02_3pct,0,1783695633.54226
